bank_statement_id,payment_id,amount,time
c72fa86e-5561-4496-a8c4-4e4c5ce1bcc2,bdd640fb-0667-4ad1-9c80-317fa3b1799d,1680405.9930671882,2026-08-27 19:54:16
39cbc41a-cc50-4bea-9e6d-4e252575dbd1,0822e8f3-6c03-4199-972a-846916419f82,8389438.304244636,2026-08-31 05:37:05
c8613afa-1ae1-4565-b3a8-0aa060ee0cbc,de8a774b-cf36-458b-8737-819096da1dac,6987747.334673423,2026-08-13 15:16:53
e0218caf-ba73-4a4e-86c7-1c162cfcbb3f,f50bea63-371e-4d7b-a7cd-813047229389,6216503.385334366,2026-02-25 05:39:02
7d57a51f-ce8a-4306-9243-8d1b96bd5e9f,9a8dca03-580d-4b71-98f5-64135be6128e,7526482.831097654,2026-08-07 17:09:17
9278f380-b351-4ddc-9951-86208769ee24,60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,5898304.304479952,2026-09-02 14:52:55
195c663b-9b82-4430-8563-cafe8d31df34,0bbb2599-11ce-4dd2-b45e-d1f03139d32c,1322982.3349115099,2026-04-21 19:53:53
c07abe48-f24e-4fd6-9168-36122bb61a4e,47294739-614f-43d7-99db-3ad0ddd1dfb2,2678575.4984327084,2026-06-29 02:23:57
bdc5a633-ce5b-461f-985d-40112e408d57,4458a885-ab90-49a4-b5a2-40ae5af30553,1185251.6413992052,2026-09-02 10:12:16
d9815a41-e1cc-433c-9838-d1688d3a5b2d,baa80dd4-88bd-4407-abcf-be01a28defe3,4463888.030951961,2026-08-28 02:43:18
4251d2f0-20a8-4260-97a1-a2f67a139e90,d7c524a5-5304-417f-af42-e12f3838b326,527733.0769065695,2026-06-11 03:10:31
27ce46ce-b695-42bf-8379-05edafc8d769,3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,5223831.825172877,2026-05-10 05:52:38
914ba9bb-60f9-4495-a486-07c22059ad46,e27a984d-6548-41d0-bfcd-9eb1a7cad415,4381848.854700338,2026-03-16 01:55:48
a3a22f35-b9b5-43c7-ab1e-fddc0d888933,89fa6a68-8fb5-427b-beb7-99193f22faf8,9564918.086237622,2026-06-25 15:34:00
ad9f835f-3fc5-4786-870c-15e3b51ee0dd,ff5e9ff0-ff50-4de4-b825-67b85cabcc97,773970.6632811297,2026-08-16 08:16:31
2edff02e-7531-4081-b4ef-fa296b1205aa,cac5b68c-28f4-4481-a0a0-4dc427209bdf,1590580.08,2026-07-11 20:33:09
77fa7bbc-cc68-453e-9a9f-d637fc7aa2dc,877409a9-77d2-4e02-bf01-cf99988c24c9,94216.26,2026-08-11 17:05:34
6d820335-f3de-49dc-869c-558b496d036a,c0398710-8976-4334-a281-7efdae849217,1822530.8657077472,2026-07-24 10:45:06
ec7ef0ab-e1a2-4ffa-b7ed-70cff111be9e,00d4af59-7427-4ca3-a87d-06ca6f4cc69a,4374180.206898264,2026-08-10 06:53:32
1641d960-dba0-4dec-a2b8-fdcc4e20c377,e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,8294741.073809878,2026-09-02 07:54:25
bade33a0-13a2-4a82-9458-771da27a2bda,04fc6d82-7d15-4385-92fb-e43b99546eb4,5072538.918503194,2026-06-10 10:30:58
9347f486-2a44-4a88-97f8-5f5bf1e2cce7,913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,8046685.961636853,2026-03-29 22:39:32
8ddd6a3e-492d-45a7-be50-150015a75ed9,c40db9b4-885f-4e66-82b6-d2c5fa5d3100,2425061.3450545156,2026-08-28 09:51:28
f6508852-02bc-42e0-9fd5-988eceefd2c9,9b49bd26-df57-459a-8715-a10343dac043,8896507.591233073,2026-07-06 17:45:53
bb15894a-eeb4-4b07-8239-01c4ad5209e7,fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,8580548.93607442,2026-08-15 09:53:57
af642572-83d7-4afc-bf70-29737acabb76,1064005c-3985-43cf-bf76-be1d1efa2197,3814619.2132851463,2026-09-02 12:02:55
038ef7af-67cc-4a38-9feb-c9afb2a86456,b535106e-122c-4a56-81d7-425638602ab6,256413.79,2026-05-14 00:17:09
bef46f0c-d4d6-461c-a92f-d9fd30afe613,474a493b-3ced-4f2d-839f-bc501223b513,2170832.228577734,2026-08-16 18:43:28
88c982ec-b3dd-4cfb-accb-6ae1b6d331ca,c8dcd19f-3e35-4128-b900-f7f993829b43,1541162.50130364,2026-05-06 01:34:00
a942b4d7-bd2d-4fff-be85-544c3e859c67,6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,886498.1407186307,2026-04-08 16:16:29
9b7cd539-0ad7-477c-9bf4-1cc6af1fbe16,56dc8907-ba6c-44ab-a712-303a0f844fef,3147741.838888157,2026-06-06 08:30:10
ee20a0b5-acad-4c07-ab24-ef63f6f32192,6c006f61-23e2-4cb4-b2d8-567d894a05e4,613747.65,2026-08-08 09:05:56
133b385e-2cc0-4f87-b99e-1823e75f58ba,8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,8910211.419370048,2026-06-22 04:04:13
5a71504b-8380-4397-a221-2e52d6e38103,c0e9ab30-ed26-42e9-97e0-11b7f8102383,7976281.434318501,2026-07-16 14:38:48
2ba4d656-610c-4ade-bed9-9a6b6c3786c2,e7067ef4-66aa-4385-9d59-ba7136b82481,6376042.6713642,2026-08-01 13:47:27
e9fedd48-5684-4457-9cfc-df01f8401eea,747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,9115667.732128378,2026-08-18 05:46:55
c433b3bd-d9cc-4656-8a03-be43d4ec0595,37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,8848799.683197493,2026-05-19 21:42:52
4b25c483-7bae-4f3b-8c96-edc24a41aed8,0cd620c2-0ea2-422b-9048-67babf7b539b,8718825.028310763,2026-03-07 00:53:50
a194c7b1-bcef-40f8-8092-6d61368b7d68,14822f53-8201-4c62-b5f5-9b220e8fa8e0,1112734.847481208,2026-08-18 15:19:02
4e08ab81-ec4d-4c00-b7ab-aaf864c46086,e3e9de99-f10c-418b-9eb0-e38a675dd5af,659485.2790131243,2026-09-04 00:52:30
0911e215-e4b7-4864-9362-dea783f9b580,956b8c0c-a849-4b92-ab52-52e314fcdd54,4311241.890822144,2026-08-19 14:33:50
7cff07e3-d92d-4519-9e24-c724e47a7b03,3d1a85dd-506e-4a9a-b758-588dab73295b,4953663.234113903,2026-07-15 16:46:59
75d9c07c-9d93-43ea-8182-144d5b120b1b,ef8c485b-c07a-40f2-add4-253b50f0fd0a,9335946.787535345,2026-08-09 03:22:02
0151ccb0-1b6f-4a9e-9a98-b7154c60b543,8181a8cc-3691-47eb-89a2-688b12c136e0,1137221.1931515764,2026-08-06 17:48:52
66edef30-2fa8-4808-b8f1-6861e3e3e73b,702cdd20-2862-48b8-88f4-ef125e9953d2,6575620.74,2026-05-14 09:38:33
7df6bc1d-6e49-48ac-99f1-45cc0244e4d7,4ca415ea-8dfa-4a56-912d-bc9aaaf91531,2217984.8715055045,2026-06-05 16:41:42
e604bfbe-83aa-422f-8772-df4a15b1c4a6,be0f051b-1b66-45a9-a3c4-36571d8cbbac,3453523.616067747,2026-06-23 20:26:27
7cc70b17-e9c1-44ce-9fb4-26c06924e248,da587e8a-a25d-4b29-afff-cfd2341ef40b,837532.520390009,2026-06-16 05:41:17
4008d4da-a819-413d-84fa-84a427d764ce,46d483f3-d450-481c-ac6f-7633a2607723,2156601.553671057,2026-08-22 10:10:27
89534e15-2ea3-4b78-a466-c9376da7c95b,e767dcea-b0e6-4969-a213-42b0f1eedba3,9628676.608193517,2026-07-14 01:41:25
a801f15e-7046-425d-bd47-4d951bd36f41,20a04502-6e06-4097-a5e9-79778d7248e2,650101.9647637609,2026-06-03 07:17:11
bf415c98-5a8e-4f05-a3ce-cf1e296df91f,aabc25fa-3fe1-4e47-ae9b-ec3635c7936c,6661347.397584914,2026-09-01 04:44:28
deda028b-e232-4dc9-9bf6-f06d017cc74e,ee0caeb5-ecfe-4b99-a790-cebdbfddc3d9,2904562.525171229,2026-06-21 17:55:20
0a4e3ccf-48ef-40ff-b087-77b41c54956f,ecab3301-bc8f-4d29-adea-94930658663a,1026919.6,2026-08-05 16:05:45
54ca6897-be71-4d60-abca-4f866500f793,1bac27a7-b386-47a4-8991-603f28c13091,7702752.7126011085,2026-08-21 17:34:36
f2c8c25e-32f1-427c-aa8c-662d290a3d67,75d66ed4-eb1f-49f2-910b-d1d033173470,3767764.9068509927,2026-06-06 12:27:16
440b71a6-fba1-4732-aa4d-5bb8f5aed2e9,6601ddd0-3170-4437-a8f7-ef5a060edf5b,4600581.082780421,2026-08-07 20:33:41
7edd8483-8cd4-47bc-bd33-8ca26bcce72a,adf4e62d-6651-429e-8268-690ba43825b5,449274.92844041425,2026-06-29 06:05:13
c7c432a0-c3af-4d93-8047-6d80532bd70a,2db69edb-42de-4fcc-b86c-2ca2e08596db,627182.2,2026-04-01 23:14:15
1b9dff1b-f52a-4cbf-9c17-729f21a496a8,30a900ad-939b-462d-a645-f129629c2ae3,27711.518181998068,2026-08-23 16:00:27
80000fac-5818-48c5-a7d1-99902049a289,afd5dea5-89d7-4d6c-8e77-7f00ecf27e76,3216928.4195781867,2026-06-04 05:37:49
0d527b89-3c8b-466c-af37-4e8cc4735700,aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3,2037515.873698915,2026-05-15 15:00:30
bcc8509b-98da-4e8c-b9f7-e0046dfe8745,688c7015-aab9-4e49-8f2d-479681d2c7de,9165882.085105788,2026-06-11 10:49:14
483fca72-4a1a-4c2e-baed-edf46f302743,f0bbac67-aa38-40a1-aba2-5efe311c6eb6,2888632.4957894483,2026-08-30 12:23:40
3f6c5de5-6dcf-4b58-82ca-55ed15263fef,8c459ce2-67f4-4ad5-8d0b-0d1a91b0e1d9,3468779.521423195,2026-08-06 00:21:02
2fd6129a-82e0-4d39-bab0-08df2709f5b2,a79ac9aa-9b4e-4c24-9479-e1e6c9277d9b,1765136.0,2026-08-18 17:28:56
aa94a1d4-3f52-4dae-b371-d64dfe87a17b,9e87e04c-a208-4977-a9f2-533683f4a9a9,3826736.699464774,2026-07-09 04:18:33
c86022c4-b4da-4f04-b951-0a4532cb28ba,25b8fd4b-32fa-4de8-8e7a-e7f639820cff,7752041.397495275,2026-08-26 23:14:52
9c711439-8098-450d-baff-361ab37e3c41,74962764-12a4-4ef0-84bb-b7a9d98868dd,3208920.92,2026-08-23 07:33:31
9758a25f-dad8-42da-be17-ddb3304c9c7b,25c73c44-3e75-43b4-a64f-a6637e8f8095,1746923.7823532752,2026-08-06 11:14:55
1ed68b71-3ab8-4c3f-a612-e9e5a26d18f6,f53d4330-cdda-44ba-ad06-e8cf3805f907,9184212.899375793,2026-06-13 17:51:29
fd8ac696-461b-4bc3-89d2-61e066ba7e51,74daaebf-1f11-4b76-992c-9227eadf5085,8658825.478668777,2026-08-30 05:57:32
0485742a-6d22-413c-a56d-f639edd9636e,c1581092-f335-4ba3-913a-7052986f9025,8306375.853802823,2026-08-09 20:25:35
0d0b6920-dd46-4c91-9747-8b5c331bd602,722764e6-8c41-461b-a827-a1b9d4a02e53,7841899.093921106,2026-07-08 18:07:34
b33d9c7c-4e73-4dcc-8664-82ee6844a0e3,d701410d-3f4b-4a70-8074-718e425a609f,8615369.379263224,2026-08-04 08:44:55
560fc071-38c6-430f-bb3e-d7bdfae96dd3,709b7d97-464c-44af-bd3f-3799a07295e9,4461826.87,2026-07-07 16:12:38
6d54a501-8286-4d40-8fb4-9d987aac8a0a,14a0bccb-8a47-4a87-a49d-681d51d87c64,2524547.8579772105,2026-06-03 14:43:59
44ed4fd5-1c2c-4fb1-8de5-f2f70d394b57,54b4a482-6858-4eba-aa34-c85410714d51,3394842.237730709,2026-08-13 08:00:32
b62a7941-59dc-4e0f-b168-5db847d28391,95863a76-c511-45ff-a7a3-7e8163b4c08b,9388473.805182628,2026-06-26 16:31:25
0c2ca7fa-e525-4eaf-91e1-17993f39562d,5a0cdd7c-f157-4470-8182-67c47a1b5806,6903563.929217058,2026-09-01 22:49:23
a911fd6d-0d58-4ee2-8023-1f700a77b5cc,ccc42903-8bcf-43a1-bc10-fa52bf5d2fdf,3628333.3761047767,2026-05-17 18:39:11
