bank_statement_id,settlement_id,bank_amount,settlement_amount,status
76c6533e-1b7a-4c94-8cc3-4f70b2995e18,2e03a9cc-8827-40b5-afa9-9c7ea8835c66,1770135.4385963983,1770135.4385963983,MATCH
a012c6c2-c790-484c-b4c9-93ae8938279c,176519e7-3332-432b-bd10-fa95e8a44238,2826762.382576522,2826762.382576522,MATCH
eadeae69-1bbc-4748-bb55-cfa32e266519,c840789b-7c60-4399-b8f4-0e5ef6babccc,7569078.480219612,7569078.480219612,MATCH
14ce6f0f-75d9-404d-9fe1-2b57a3506764,b73c62ab-fe4c-4fed-af55-2c9e1b000f9f,4635971.812496929,4635971.812496929,MATCH
7cff07e3-d92d-4519-9e24-c724e47a7b03,a226a75b-b432-4ce9-b6dc-16b5a076aed6,8848799.683197493,8848799.683197493,MATCH
037ce599-c1c3-43c4-a095-95a4602cf604,7b2e00e6-c802-4d0e-9cc7-eb514598ab17,6564342.907302337,6564342.907302337,MATCH
12aebb0e-da94-4cdf-a637-3dc791f448bb,6c097204-6fa6-481c-bdc5-62858f50b11f,7736396.174704318,7736396.174704318,MATCH
8f97b21d-028a-4f1c-92b1-2838639e8bbc,cc876b1c-a987-499b-bd4c-938cd76ac5a8,8187695.807023191,8187695.807023191,MATCH
78597bc6-43e9-494c-b217-f93cac6082a4,64bfc76d-1874-4d7d-9190-c53fb2d2570a,8933669.0511091,8933669.0511091,MATCH
038ef7af-67cc-4a38-9feb-c9afb2a86456,4777be21-7677-4166-9644-e9ae7936931e,8046685.961636853,8046685.961636853,MATCH
de2bfe58-73d2-439e-b99d-d6d562b51781,8da22a39-50db-4e34-938f-2b906c087d6c,1908699.435970517,1908699.435970517,MATCH
4e681465-5ba6-4f73-a9c4-1f0d2fe68a52,d3e78237-cd21-44d3-9960-6af0aa546c79,9114337.516115084,9114337.516115084,MATCH
4feeea91-8003-44a8-9c7a-b4e3ee8b09a3,b2709103-cfd6-4161-8499-68ddd6d24227,4853141.289065112,4853141.289065112,MATCH
acdeafcd-6306-4765-8fa3-baf648f368ba,becfdded-b198-447f-8612-d4247ac067a6,7218674.236529824,7218674.236529824,MATCH
b75d2f0c-472e-4f3b-8f9a-fd511a58fa44,17cb67b8-6d0f-44e6-a174-a7856f2190cb,3838555.908532603,3838555.908532603,MATCH
2ba4d656-610c-4ade-bed9-9a6b6c3786c2,15457c64-3d92-4952-becb-002e73d3328c,886498.1407186307,886498.1407186307,MATCH
cb56eb48-be3d-4265-9471-8d868d366459,4f908490-006e-4070-bca6-a6b093b0d27e,7234154.332272301,7234154.332272301,MATCH
91206a37-2703-475d-b540-838e13331679,58e9bbad-35b1-473c-ad56-cfd579ab3018,8703851.940075178,8703851.940075178,MATCH
8e93abd2-b269-4b43-a6fe-47b320a0c244,a7c24c68-c1ff-4427-9477-d9d7d26580c0,5413098.059041055,5413098.059041055,MATCH
7a8e5e5c-a444-4040-8663-3755a5b01639,cab285dc-85b7-4774-b608-937418caa0a9,2694630.5366747216,2694630.5366747216,MATCH
425ca2e3-8682-462f-a8ae-013ac6807bb4,3bd66a06-a22f-4331-a851-83410766699f,2413657.637161501,2413657.637161501,MATCH
31ed10f5-44e9-48ac-9122-f00170e68474,66a466d4-94c8-469d-84b1-a1ee794836f2,3878862.9052611766,3878862.9052611766,MATCH
f1abf7a0-cd59-4b8c-a362-7835555df8c6,8ea035f0-49cc-453f-b469-3ec45c7ae8ef,1910289.0795718336,1910289.0795718336,MATCH
2ad0d57e-730c-49bc-9073-c0c3d1c06099,0e378b07-cc53-4c3e-92bb-530d486fac8f,650085.2743989577,650085.2743989577,MATCH
59c67a52-8f80-41ef-8615-575c4fa87a65,812fdd98-b777-4609-9b57-6a7fc8ecb641,100973.2343591167,100973.2343591167,MATCH
8f962ff2-186b-4a71-9569-12ddf9cf2bd2,8a1055c5-34b0-438e-be04-078257bd0ca8,718503.5370203694,718503.5370203694,MATCH
4a3fcfda-7aff-49bd-b9e5-8450334a34a8,3142e0c7-15cc-461a-8f31-bf2ea4d78f64,9389616.857916366,9389616.857916366,MATCH
bdddbd36-82f2-459e-abb7-f1463d9d542a,8fa09a4c-4f10-4ae3-b518-174fc5874243,9387620.676179392,9387620.676179392,MATCH
531b1e76-725f-475a-847c-1fe56ac475a5,3cb29bf1-0b73-4a1c-91dc-01e5a9a14475,3115590.961883049,3115590.961883049,MATCH
0571dd83-938f-4b37-bc86-25826202f35d,0c37eb80-918b-4e18-8ba4-af256d7fd4e2,2828809.48311606,2828809.48311606,MATCH
4312153d-484f-4f7c-a44f-52f41b696031,50326fe6-1de9-4c72-82a9-f7e5244cb9a8,5075588.761315197,5075588.761315197,MATCH
42650798-4b80-4fa6-bab1-fa122d5737a0,ec814510-c42e-4fc8-9372-e80dee892190,2348410.970825921,2348410.970825921,MATCH
43839f12-1335-46c3-8de5-f4aff27815f6,4d7ae829-cdfc-4f75-a51e-89f1acd380ef,7970979.688687608,7970979.688687608,MATCH
e9707c9e-266a-4b90-ae28-b2f44a76a0ea,ebc78c06-3e9a-4e12-a2da-43a7fa1b7659,6401120.555297945,6401120.555297945,MATCH
3864bf75-dbd7-44b4-aa44-0cc9e5cbbf13,d51fde3f-573e-4c3a-b574-175b3d051bf4,2737566.159382524,2737566.159382524,MATCH
1641d960-dba0-4dec-a2b8-fdcc4e20c377,083759f8-2090-435e-95fc-f99133c417d5,773970.6632811297,773970.6632811297,MATCH
9b622c0a-5398-4922-8652-62a224a0db6e,b6004df4-e0de-4676-af08-2598e1b4b7ef,6937080.526793528,6937080.526793528,MATCH
5639117a-1e78-4a02-8b1b-bb3ab6448d24,fd411a05-833c-44f2-a772-829078d540ef,6699569.159318396,6699569.159318396,MATCH
40a8bd6b-3e5b-44af-9587-57a3793c04f7,606ffa15-f76c-432e-b442-8cde4a9f6c5c,7977129.375141768,7977129.375141768,MATCH
ed486d9a-e69f-4f78-af4c-113dc35f4e12,ec5412b4-0d74-4c38-bc58-82ecb34de663,9533297.609265111,9533297.609265111,MATCH
e990ff49-42bd-41c4-a60f-dc406cd9dc3f,85db19d7-cfbf-4d39-a281-9fced624f055,4133351.0268328446,4133351.0268328446,MATCH
57713fff-4971-4ec3-8bbd-373242a1a429,e6c71f15-5bed-43be-936d-6ccea535f9d7,8418257.590905914,8418257.590905914,MATCH
03fddd08-4b73-461f-8cbe-b6db108ab4de,e13f8740-bd74-4fe0-b808-8e14b9a01137,5897421.728103994,5897421.728103994,MATCH
6e4f8ea3-f0ad-46f7-9b1f-b4d49f9bc7bd,9fe3f824-39d3-49cf-8dfa-76af66eb43b0,8710287.779595915,8710287.779595915,MATCH
586b3c22-4652-4e16-a489-149f6e5c9ae7,e75641e0-a657-41db-a1bc-7c5642bb8f63,8010288.370923056,8010288.370923056,MATCH
e81b60ff-da41-415f-8e29-b9dabd350d2a,ab636d66-9ab2-4735-83f0-6e7ddfaa8505,2067101.953599237,2067101.953599237,MATCH
7a8c2c36-65d7-4163-9b2a-eea621351574,cedcf5bf-6e94-44ab-badf-14580722ab3c,2288373.751697633,2288373.751697633,MATCH
def42b39-2d49-4235-bc77-5a20b4a4cb80,eccf3b91-e352-49a0-95de-293bb9a807ba,3385155.65936141,3385155.65936141,MATCH
32b9fc56-51f3-4a1f-903a-9ed2515a3eea,86514886-a5b0-4024-a12a-d11986fbbcdb,2958649.215891946,2958649.215891946,MATCH
5a71504b-8380-4397-a221-2e52d6e38103,cf4994e0-7ab1-4533-a4f2-2a7c87f797fa,1541162.50130364,1541162.50130364,MATCH
