bank_statement_id,settlement_id,bank_amount,settlement_amount,status
568a220d-0843-480a-87ac-a3fea73a366e,2d5c1a61-6302-4daa-9ba3-a49c99ef827f,956205.312929262,956205.312929262,MATCH
dbc3f559-8390-4d94-8713-b81fc2f86229,78b3842a-7c2c-4791-b6bf-faa971fcf2e6,1895507.580142908,1895507.580142908,MATCH
6bc152ad-c44b-44e8-b51e-2df306c3998e,eba18fa8-1f19-485b-8d33-0569889cd33d,660198.8049499705,660198.8049499705,MATCH
7a8e5e5c-a444-4040-8663-3755a5b01639,c075e119-441d-4e33-8fa1-659f026f05f6,2918621.058635701,2918621.058635701,MATCH
f5a02c0a-5021-43fc-bff3-e8188babb414,018c0313-a139-4d49-b13e-90352efcd60c,6492128.311223056,6492128.311223056,MATCH
a0d44d24-4d07-4581-a79f-5df0da2d6df9,6bf843df-96f1-4d54-88a6-a0052463463c,3560890.347256662,3560890.347256662,MATCH
072915c7-25ee-4dfd-acc1-da4dd0411dec,93acceb8-8ab5-4799-9e63-638cf485e944,7919637.294533996,7919637.294533996,MATCH
650495b5-9232-48bf-9668-85304bbb2e9a,250487e4-ada5-47e3-a85d-81db9620ed14,8830102.364938533,8830102.364938533,MATCH
f44f5031-a82d-4879-87cc-4d1c7bf6b2ad,b2da61f7-64bf-476d-9874-ed7d9190c53f,9306118.521147486,9306118.521147486,MATCH
a012c6c2-c790-484c-b4c9-93ae8938279c,abe05b22-13dc-4154-ab1f-c2ab640eb68e,3730505.6257325537,3730505.6257325537,MATCH
12aebb0e-da94-4cdf-a637-3dc791f448bb,5193412d-6906-4118-af75-a3b2d8186112,7561085.65720996,7561085.65720996,MATCH
243a7f53-2a7b-4a7c-a674-dd6b9055e085,7b64665c-cb26-4809-b429-73f5d1d18e0b,5517004.170860487,5517004.170860487,MATCH
6dd9a879-93ee-46ee-ae93-a4d0cd24120c,1e0aaf12-9136-44ad-b27e-8ce72b8d2c49,854663.1698042977,854663.1698042977,MATCH
aeee2302-23a1-4fdd-9402-c7becdebdd3c,bca2c581-928b-4e4b-8c47-2ded72e06bb4,9632359.99424954,9632359.99424954,MATCH
4b11c181-2dc1-4143-8469-8c048af190cb,35b80aae-82b6-4c8e-89c8-18d79b2e18c0,7394361.092373287,7394361.092373287,MATCH
63fff4b5-866a-4c09-b4cb-22f4e70d8d07,6a394607-2e35-45c8-afe0-5fa257076494,2475856.2827201257,2475856.2827201257,MATCH
17c50a7c-6f76-4a77-8d4b-cdb2361352a0,1ddb4f15-1eb8-4863-82f8-60445e08e249,8687512.011375442,8687512.011375442,MATCH
f0eb453e-d67d-490d-9795-70bebf3025c3,b3126a11-db6a-47db-a888-e7affca39bae,7819948.573509226,7819948.573509226,MATCH
e14110b6-9a92-4655-a72c-74820002572a,59410ea3-8c2b-478e-9f50-e1aa0088b13a,5964974.797228096,5964974.797228096,MATCH
