payment_id,truth
bdd640fb-0667-4ad1-9c80-317fa3b1799d,MATCH
0822e8f3-6c03-4199-972a-846916419f82,MATCH
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,MISSING_SETTLEMENT
de8a774b-cf36-458b-8737-819096da1dac,MATCH
f50bea63-371e-4d7b-a7cd-813047229389,MATCH
9a8dca03-580d-4b71-98f5-64135be6128e,MATCH
60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,MATCH
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,MATCH
47294739-614f-43d7-99db-3ad0ddd1dfb2,DUPLICATE_PAYMENT
4458a885-ab90-49a4-b5a2-40ae5af30553,MATCH
baa80dd4-88bd-4407-abcf-be01a28defe3,MATCH
d7c524a5-5304-417f-af42-e12f3838b326,MATCH
3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,MATCH
e27a984d-6548-41d0-bfcd-9eb1a7cad415,MATCH
89fa6a68-8fb5-427b-beb7-99193f22faf8,MATCH
ff5e9ff0-ff50-4de4-b825-67b85cabcc97,MATCH
cac5b68c-28f4-4481-a0a0-4dc427209bdf,PARTIAL_PAYMENT
877409a9-77d2-4e02-bf01-cf99988c24c9,PARTIAL_PAYMENT
c0398710-8976-4334-a281-7efdae849217,MATCH
00d4af59-7427-4ca3-a87d-06ca6f4cc69a,MATCH
e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,MATCH
c333e861-5fb8-416c-a720-797d32ebd689,MISSING_SETTLEMENT
04fc6d82-7d15-4385-92fb-e43b99546eb4,MATCH
913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,MATCH
c40db9b4-885f-4e66-82b6-d2c5fa5d3100,MATCH
9b49bd26-df57-459a-8715-a10343dac043,MATCH
fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,MATCH
1064005c-3985-43cf-bf76-be1d1efa2197,MATCH
b535106e-122c-4a56-81d7-425638602ab6,PARTIAL_PAYMENT
474a493b-3ced-4f2d-839f-bc501223b513,MATCH
c8dcd19f-3e35-4128-b900-f7f993829b43,MATCH
6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,MATCH
56dc8907-ba6c-44ab-a712-303a0f844fef,MATCH
6c006f61-23e2-4cb4-b2d8-567d894a05e4,PARTIAL_PAYMENT
8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,MATCH
c0e9ab30-ed26-42e9-97e0-11b7f8102383,MATCH
e7067ef4-66aa-4385-9d59-ba7136b82481,MATCH
747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,MATCH
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,MATCH
0cd620c2-0ea2-422b-9048-67babf7b539b,MATCH
14822f53-8201-4c62-b5f5-9b220e8fa8e0,MATCH
e3e9de99-f10c-418b-9eb0-e38a675dd5af,MATCH
956b8c0c-a849-4b92-ab52-52e314fcdd54,MATCH
3d1a85dd-506e-4a9a-b758-588dab73295b,MATCH
ef8c485b-c07a-40f2-add4-253b50f0fd0a,MATCH
8181a8cc-3691-47eb-89a2-688b12c136e0,MATCH
702cdd20-2862-48b8-88f4-ef125e9953d2,PARTIAL_PAYMENT
4ca415ea-8dfa-4a56-912d-bc9aaaf91531,MATCH
be0f051b-1b66-45a9-a3c4-36571d8cbbac,MATCH
da587e8a-a25d-4b29-afff-cfd2341ef40b,MATCH
46d483f3-d450-481c-ac6f-7633a2607723,MATCH
8d3aed99-711c-41c9-bdc1-4f1f295d6fbf,MISSING_SETTLEMENT
e767dcea-b0e6-4969-a213-42b0f1eedba3,MATCH
20a04502-6e06-4097-a5e9-79778d7248e2,MATCH
aabc25fa-3fe1-4e47-ae9b-ec3635c7936c,DUPLICATE_PAYMENT
ee0caeb5-ecfe-4b99-a790-cebdbfddc3d9,MATCH
ecab3301-bc8f-4d29-adea-94930658663a,PARTIAL_PAYMENT
1bac27a7-b386-47a4-8991-603f28c13091,MATCH
75d66ed4-eb1f-49f2-910b-d1d033173470,MATCH
6601ddd0-3170-4437-a8f7-ef5a060edf5b,MATCH
adf4e62d-6651-429e-8268-690ba43825b5,MATCH
2db69edb-42de-4fcc-b86c-2ca2e08596db,AMOUNT_MISMATCH
ba81edd9-587e-4344-af3f-920c98b8e4cc,MISSING_SETTLEMENT
30a900ad-939b-462d-a645-f129629c2ae3,MATCH
afd5dea5-89d7-4d6c-8e77-7f00ecf27e76,MATCH
aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3,MATCH
688c7015-aab9-4e49-8f2d-479681d2c7de,MATCH
f0bbac67-aa38-40a1-aba2-5efe311c6eb6,DUPLICATE_PAYMENT
8c459ce2-67f4-4ad5-8d0b-0d1a91b0e1d9,MATCH
a79ac9aa-9b4e-4c24-9479-e1e6c9277d9b,PARTIAL_PAYMENT
f5b78cc7-e6b3-4944-8b32-3e357922bac2,MISSING_SETTLEMENT
9e87e04c-a208-4977-a9f2-533683f4a9a9,MATCH
25b8fd4b-32fa-4de8-8e7a-e7f639820cff,MATCH
74962764-12a4-4ef0-84bb-b7a9d98868dd,AMOUNT_MISMATCH
25c73c44-3e75-43b4-a64f-a6637e8f8095,MATCH
f53d4330-cdda-44ba-ad06-e8cf3805f907,MATCH
74daaebf-1f11-4b76-992c-9227eadf5085,MATCH
c1581092-f335-4ba3-913a-7052986f9025,MATCH
722764e6-8c41-461b-a827-a1b9d4a02e53,MATCH
d701410d-3f4b-4a70-8074-718e425a609f,MATCH
709b7d97-464c-44af-bd3f-3799a07295e9,AMOUNT_MISMATCH
14a0bccb-8a47-4a87-a49d-681d51d87c64,MATCH
54b4a482-6858-4eba-aa34-c85410714d51,MATCH
95863a76-c511-45ff-a7a3-7e8163b4c08b,MATCH
5a0cdd7c-f157-4470-8182-67c47a1b5806,MATCH
ccc42903-8bcf-43a1-bc10-fa52bf5d2fdf,MATCH
638c254c-076e-4bba-bc53-08bf6f92f25e,MATCH
20ac3703-eb67-446a-b7a6-e17cd72b6108,MATCH
157d94a1-06f0-48ff-a9ba-5a27907bfe36,MATCH
53cd6268-610c-4373-8299-9aa40cdf742b,MATCH
6bebac31-d4f8-4d72-b382-1cfdc083b73a,MATCH
59970043-f3b1-425b-bff9-f5850d557b61,MATCH
d6d7b3b8-3309-4d35-bf4d-f561f319c125,MATCH
f2a03459-9060-4f62-9d48-a071ab61a7b1,MISSING_SETTLEMENT
bf780e3f-f6b7-41f7-9b74-92459b1bc895,MATCH
edcb8cb6-0692-4c63-9424-aed51bac5c15,MATCH
13748146-32c5-4d89-b70b-3420f1043785,MATCH
d9acd158-4d34-45c5-85c1-4eb4b27b3d90,MATCH
a9597663-6daa-4e68-8861-fe1858e25888,MATCH
7d7ddbed-d284-476c-ab88-f83dd97dc9cd,MATCH
859131d2-bbda-4242-ad17-4fc96f7c15ea,AMOUNT_MISMATCH
bb2488a3-d363-47b6-af81-cf4f7701f7bb,MISSING_SETTLEMENT
3e6dd58b-7367-428d-a1b2-94de4767d76c,MATCH
533420e6-d9d8-4b8d-be8a-dee70758e201,MATCH
b380c73a-989d-4d4a-a15c-a6664797b2c9,MATCH
680bac63-b856-4035-bdc9-829015eabb27,MATCH
17d2582e-046a-4df5-8afd-a61372bb912d,MATCH
79279973-5e78-4fd7-94e0-d3baa9f948b2,AMOUNT_MISMATCH
455ac762-7428-4656-b3ee-4d3b5a104129,MATCH
f36cb62b-892e-4161-be2d-740a1e9b23bc,AMOUNT_MISMATCH
fa02eaec-96ef-4ad6-b97e-670346c8adfe,MATCH
2defe193-5c62-43a2-ba3c-563e4bd6cee6,MATCH
8da8eee4-0df5-4ac6-b96b-648a0ba6eab9,AMOUNT_MISMATCH
48ca7651-92f5-4f7b-8323-d342df6a8f93,MATCH
7a4c75d4-dc99-404c-b0e9-8b3b40a26c60,MATCH
0db95301-afbb-411a-a123-5a8c93b7a886,MATCH
8edddfcd-1e52-4770-bf89-7142fe716b14,MATCH
715629ee-e893-4e3d-b354-ea6f61607459,MATCH
9c10c572-0f6b-40d0-9efb-a58b9191b363,PARTIAL_PAYMENT
2834e4c0-14c8-43b4-a911-d19243bfd931,PARTIAL_PAYMENT
980402a2-b07a-4066-b354-35ea68949b8d,MATCH
1238d630-743b-45a2-9c0f-2fcfb3f6fe0d,MATCH
398d1ca6-8b68-40b5-9d61-fac36cd5e859,AMOUNT_MISMATCH
4ebfa5c3-cae9-44a7-aa79-ea680f44704f,PARTIAL_PAYMENT
4dd8eb85-b04d-4376-b7fc-97031fd5a423,MATCH
9918ee46-1497-4658-b010-f7197e695d0d,MISSING_SETTLEMENT
3a9aca5e-1761-42ed-869f-14f140181c6e,MATCH
c3c75611-ffe3-4a49-854f-92fff366bad4,MATCH
7135f221-a6c9-437f-84da-d06a7872bdeb,MISSING_SETTLEMENT
f8140102-7de1-4dfe-9072-5b5ca2814044,AMOUNT_MISMATCH
292bd156-db94-4570-9ac7-0ec0ab8ddeb4,MATCH
0964fbbf-8cd3-41b0-82b0-1cfdd045dd1c,MATCH
dd6ac7b8-6778-443b-85c5-b37af85e06a1,MATCH
84b871bb-3005-48d2-8de0-51a669ca97d2,MATCH
218a1536-8c99-4894-845d-cc38341c6494,MATCH
9bdf0377-a149-43c2-b920-264c0763fcd0,MATCH
17dc8eff-6872-43f9-8d60-593603802b70,MATCH
d50755d9-a5d0-4d53-9e12-42e3f27292b6,MATCH
d5b077e0-6a5d-432b-85ff-2c83b495db4e,PARTIAL_PAYMENT
ebff8d15-30cb-4755-a232-b17a25074181,MATCH
dabac50d-ca3d-4859-85ce-099c46b82659,MATCH
b9de7a3a-4868-42b9-80a8-1de9d20f87d0,MATCH
585a0afa-7bfd-4c12-89e0-6ab37250ee18,PARTIAL_PAYMENT
