bank_statement_id,amount,time
7d57a51f-ce8a-4306-9243-8d1b96bd5e9f,1680405.9930671882,2026-08-03 04:22:28
9278f380-b351-4ddc-9951-86208769ee24,8389438.304244636,2026-08-26 04:48:09
c07abe48-f24e-4fd6-9168-36122bb61a4e,6987747.334673423,2026-08-26 16:00:48
bdc5a633-ce5b-461f-985d-40112e408d57,6216503.385334366,2026-08-16 13:16:39
d9815a41-e1cc-433c-9838-d1688d3a5b2d,7526482.831097654,2026-08-09 21:28:20
4251d2f0-20a8-4260-97a1-a2f67a139e90,5898304.304479952,2026-08-21 03:53:45
27ce46ce-b695-42bf-8379-05edafc8d769,1322982.3349115099,2026-06-05 15:27:07
914ba9bb-60f9-4495-a486-07c22059ad46,2678575.4984327084,2026-07-08 19:20:49
a3a22f35-b9b5-43c7-ab1e-fddc0d888933,1185251.6413992052,2026-08-27 21:35:10
ad9f835f-3fc5-4786-870c-15e3b51ee0dd,4463888.030951961,2026-08-30 00:12:55
2edff02e-7531-4081-b4ef-fa296b1205aa,527733.0769065695,2026-07-28 11:28:39
77fa7bbc-cc68-453e-9a9f-d637fc7aa2dc,5223831.825172877,2026-06-22 10:48:18
6d820335-f3de-49dc-869c-558b496d036a,4381848.854700338,2026-05-25 16:34:52
ec7ef0ab-e1a2-4ffa-b7ed-70cff111be9e,9564918.086237622,2026-07-01 23:46:27
1641d960-dba0-4dec-a2b8-fdcc4e20c377,773970.6632811297,2026-03-08 16:15:20
d862042e-500f-46b1-8544-a04968115a5c,1590580.08,2026-07-13 16:17:11
bade33a0-13a2-4a82-9458-771da27a2bda,94216.26,2026-06-28 15:32:19
9347f486-2a44-4a88-97f8-5f5bf1e2cce7,1822530.8657077472,2026-05-25 14:29:08
8ddd6a3e-492d-45a7-be50-150015a75ed9,4374180.206898264,2026-08-14 14:10:13
f6508852-02bc-42e0-9fd5-988eceefd2c9,8294741.073809878,2026-08-30 03:23:16
af642572-83d7-4afc-bf70-29737acabb76,5072538.918503194,2026-07-29 11:35:33
038ef7af-67cc-4a38-9feb-c9afb2a86456,8046685.961636853,2026-02-04 09:10:09
bef46f0c-d4d6-461c-a92f-d9fd30afe613,8955350.999039449,2026-04-23 01:07:02
88c982ec-b3dd-4cfb-accb-6ae1b6d331ca,8896507.591233073,2026-05-03 08:28:47
a942b4d7-bd2d-4fff-be85-544c3e859c67,8580548.93607442,2026-07-11 09:44:10
9b7cd539-0ad7-477c-9bf4-1cc6af1fbe16,3814619.2132851463,2026-08-29 00:41:55
ee20a0b5-acad-4c07-ab24-ef63f6f32192,256413.79,2026-08-10 07:20:16
133b385e-2cc0-4f87-b99e-1823e75f58ba,2170832.228577734,2026-08-22 05:13:18
5a71504b-8380-4397-a221-2e52d6e38103,1541162.50130364,2026-03-17 20:35:09
2ba4d656-610c-4ade-bed9-9a6b6c3786c2,886498.1407186307,2026-02-14 04:17:35
e9fedd48-5684-4457-9cfc-df01f8401eea,3147741.838888157,2026-04-27 23:02:46
c433b3bd-d9cc-4656-8a03-be43d4ec0595,613747.65,2026-08-24 07:58:16
4b25c483-7bae-4f3b-8c96-edc24a41aed8,8910211.419370048,2026-05-05 22:06:52
a194c7b1-bcef-40f8-8092-6d61368b7d68,7976281.434318501,2026-07-11 00:53:41
4e08ab81-ec4d-4c00-b7ab-aaf864c46086,6376042.6713642,2026-05-12 20:43:31
0911e215-e4b7-4864-9362-dea783f9b580,9115667.732128378,2026-08-15 08:58:01
